name	type_id	id	lat	lng
法源寺	3	3747	39.885311	116.37004	12
九门小吃	1	3796	39.945932625057	116.38176310062	12
门框胡同百年卤煮(中关村店)	1	15435858	39.981229	116.327614	12
4号厨房(朝阳一店)	1	22327822	39.935936	116.449438	12
无限日餐厅	1	22327831	39.977032	116.477835	12
回音壁	3	6903692	39.878283199307	116.41366227116	12
砂锅居(西四店)	1	3988	39.920284	116.373779	12
一坐一忘丽江主题餐厅(三里屯店)	1	845291	39.943517	116.452663	12
便宜坊烤鸭店(哈德门店)	1	175956	39.898774	116.41929	12
花家怡园(世茂店)	1	182092	39.907714	116.471206	12
中央电视塔	3	5429395	39.919217	116.306992	12
皇家冰窖小院	1	146870	39.930342	116.393495	13
野鸭湖国家湿地公园	3	4385	40.409218	115.858231	13
海坨山	3	21303	40.559423	115.820038	13
北宫国家森林公园	3	3955	39.8729	116.131223	13
南京大牌档(中关村店)	1	140429	39.980233	116.314015	13
海底捞火锅(红庙店)	1	102583	39.91606	116.48241	13
王府井百货(王府井大街店)	4	22059	39.913877895216	116.41058468818	13
多味居	1	22327789	39.935522	116.411821	13
隆福寺小吃店(隆福寺店)	1	3852	39.925098419189	116.41500091553	13
白云观	3	4807	39.901224	116.34379	13
南海子公园	3	21644	39.777535	116.465612	13
海碗居(王府井店)	1	15435486	39.913698666423	116.410302541	13
百望山森林公园	3	3532	40.030003	116.255647	13
那家小馆(植物园店)	1	823422	39.993078	116.209699	13
张妈妈特色川味馆(安定门店)	1	7379478	39.944118	116.407672	13
平谷天云山	3	9005091	40.316291	117.255757	14
姚记炒肝店(簋街北新桥店)	1	6311387	39.940788152928	116.41731244907	14
太庙	3	21135	39.911636	116.399863	14
十七孔桥	3	830065	39.99029	116.278409	14
天兴居(鲜鱼口街店)	1	22831	39.896207	116.399897	14
陈记卤煮小肠(前门店)	1	6946387	39.896852	116.395333	14
通乐饭馆(总店)	1	22327771	39.940836	116.429013	14
蟒山国家森林公园	3	6627856	40.26432	116.293542	14
杨梅竹斜街	3	8078908	39.89528	116.390844	14
北京西山国家森林公园	3	6924	39.976549	116.194733	14
利群烤鸭店	1	8218	39.898381	116.406213	14
大碗居(东四店)	1	850947	39.928043	116.417166	14
观复博物馆	3	5198	40.006977	116.534088	14
白夜西餐	1	22327768	39.94344	116.42859	14
古北口长城	3	21850	40.689782	117.1644	14
鼎泰丰(君太百货店)	1	168033	39.90949	116.37318	15
全聚德烤鸭(清华园店)	1	825698	39.993581	116.330376	15
护国寺小吃店(和平门店)	1	6306430	39.899347	116.38568	15
密云水库	3	4246	40.49744	116.956631	15
北平咖啡(南锣鼓巷店)	1	7381123	39.935773	116.403029	15
小吊梨汤(香山店)	1	158410	39.992534	116.203439	15
局气(南站店)	1	8072905	39.874932	116.36797	15
十三陵-定陵地下宫殿	3	6627927	40.29588	116.223516	15
白草畔景区	3	19233	39.809299	115.603562	15
海底捞火锅(王府井in88店)	1	859040	39.916012	116.411816	15
麻小麻辣诱惑(君太店)	1	29597350	39.90971	116.37324	15
松美术馆	3	33786768	40.02492	116.585728	15
金鼎轩南北菜(地坛店)	1	160762	39.950817	116.416119	15
金鼎轩南北菜(亚运村店)	1	4398	40.002257	116.412987	15
三十五号院(四合院私房火锅)	1	22327861	39.948704	116.399713	15
西什库教堂（北堂）	3	5893	39.924026489258	116.37865447998	16
杜莎夫人蜡像馆(前门大街店)	3	7689422	39.897304	116.398222	16
北京重庆饭店中餐厅	1	22327786	39.96339	116.435896	16
乾清宫	3	849540	39.920238	116.396919	16
故宫九龙壁	3	6627771	39.918516257295	116.40022718651	16
满福楼	1	8148	39.9295	116.39701	16
硬舌酒肉	1	29596634	39.939292	116.380366	16
佛香阁	3	840514	39.99895	116.273956	16
张各庄银杏林	3	7895147	40.193247	116.296741	16
三里屯酒吧街	3	21633	39.934683	116.45566	16
烤肉宛饭庄(南礼士路店)	1	8252	39.910931	116.352802	16
老北京炸酱面(前门步行街店)	1	7377648	39.899711	116.39284	16
牛排家(三里屯店)	1	29598178	39.93185	116.45497	16
初色海鲜姿造自助火锅(时代名门商场店)	1	29598594	39.99138	116.40656	16
全聚德烤鸭店(什刹海店)	1	161431	39.935731	116.390806	16
鹿港小镇(西单大悦城店)	1	21469	39.91105	116.372547	17
东方新天地	4	10164	39.90950012207	116.41500091553	17
日昌餐馆(地安门总店)	1	148526	39.933269	116.394049	17
长陵	3	811811	40.302584403345	116.24891884625	17
周口店遗址	3	896172	39.690082	115.93231	17
局气(五道口购物中心店)	1	13478902	39.991503	116.339361	17
南京大牌档(三里屯世茂店)	1	29596106	39.935262	116.449686	17
王胖子驴肉火烧(鼓楼店)	1	21437	39.942471	116.390271	17
圜丘	3	872794	39.877013751648	116.41319786012	17
奥林匹克体育中心体育馆	3	6323953	39.985157	116.400818	17
绿茶(朝阳大悦城店)	1	148827	39.92384	116.51736	17
今日美术馆	3	856565	39.899786	116.467741	17
四叶寿司(将台西路店)	1	29598758	39.973832	116.475936	17
聚齐儿-情景式京范儿餐厅	1	29588058	39.84274	116.38687	17
那家山城	1	13481227	39.971816	116.230488	18
王胖子驴肉火烧(东四店)	1	6335	39.936339	116.417306	18
德云社天桥剧场	3	4016	39.883931	116.39791	18
苏泰辣椒(长峰店)	1	29597890	39.908937	116.265084	18
海底捞火锅(枫蓝国际店)	1	29597658	39.953189146974	116.35600056248	18
鮨-心屋(丽都店)	1	29598602	39.98174	116.486249	18
满恒记火锅	1	6946648	39.932096	116.367657	18
方砖厂69号炸酱面	1	22327813	39.93827	116.39984	18
雕爷牛腩(老佛爷百货店)	1	7670552	39.91435	116.37438	18
朴大叔烤肉	1	29596062	39.914259	116.47779	18
北京工人体育场	3	3984	39.930516	116.447155	18
鸟巢欢乐冰雪季	3	7049157	39.993002486408	116.39651683069	18
法海寺	3	6618	39.939155578613	116.16237640381	18
中关村	4	3778	39.979206085205	116.31594848633	18
左邻右舍褡裢火烧(角门店)	1	22327855	39.840701	116.379418	18
北27號●廿七禾尚	1	29597514	39.93636	116.454731	19
聚德华天烤肉季(鲜鱼口店)	1	863186	39.895868	116.400139	19
狗不理包子(前门店)	1	21863	39.895751	116.395373	19
Ernest's艾尔尼法式小馆(荣祥广场裕翔路店)	1	29592418	40.062662	116.547527	19
白塔寺	3	3535	39.924788	116.363374	19
李记酱肉爆肚	1	6946277	39.939772	116.392621	19
叫座儿鲜煲火锅(亚运村店)	1	29597794	40.000849	116.412846	19
火炉火(五道口店)	1	152656	39.99998	116.34032	19
燕莎奥特莱斯购物中心	4	22861	39.876800537109	116.4879989624	19
很久以前羊肉串(后沙峪店)	1	29438794	40.099335	116.544571	19
港丽餐厅(大悦城店)	1	5477	39.910720825195	116.37321472168	19
北海九龙璧	3	6627876	39.931998	116.387655	19
九本しんいち居酒屋(五道口1店)	1	29596890	39.992973	116.352659	19
鸿宾楼	1	5200	39.927882	116.343494	19
大董(北京金宝汇店)	1	154048	39.91453	116.42141	19
铃木食堂(帽儿胡同店)	1	160540	39.9363	116.40209	20
泰伙餐厅	1	29596486	39.91015	116.32042	20
付小姐在成都(南锣鼓巷店)	1	18773734	39.933069	116.402312	20
PAGE-ONE书店(三里屯店)	4	131008	39.935712	116.455172	20
中国铁道博物馆	3	6627828	39.995644137056	116.5152983411	20
全聚德(天安门店)	1	21540	39.901385	116.399912	20
七寻八找胡同菜	1	8071667	39.945474	116.418976	20
瑞蚨祥(大栅栏店)	4	108492	39.896130944868	116.3970901966	20
红门火锅	1	22327843	39.891159	116.307103	20
MORTON'S-莫尔顿牛排坊	1	29598674	39.916147	116.418905	20
苏畅园(安贞店)	1	22327780	39.96528	116.407239	20
汕头八合里海记牛肉店(清河店)	1	29598454	40.041535	116.340292	20
川办餐厅(贡院蜀楼)	1	5504	39.911674499512	116.43175506592	20
咂摸	1	5478	39.935209	116.403309	20
喇叭沟原始森林风景区	3	6916	40.959797381406	116.489487	20
丽江庭院之午后阳光(朝内店)	1	29592118	39.919662	116.426189	21
旺顺阁鱼头泡饼(大望路店)	1	6946315	39.906483	116.477405	21
静莲斋(西直门店)	1	29595234	39.948491	116.340644	21
丰泽园饭店	1	3906	39.890818	116.394663	21
玫瑰花园自助烤肉(金源店)	1	9585146	39.959951	116.288622	21
天坛街自助餐厅	1	29592926	39.898269	116.412312	21
洼里乡居楼	1	806746	40.182422	116.458554	21
玛雅铁板烧餐厅(丰台永旺店)	1	29594710	39.81778	116.291746	21
印巷小馆(鼓楼店)	1	4845	39.94340133667	116.39566040039	21
北京柳沟碧香苑牛肚豆腐宴	1	19485283	40.444107	116.101614	21
南门涮肉(朝阳路店)	1	880996	39.915852	116.534234	21
银锭桥	3	838120	39.938965	116.393618	21
局气(西单店)	1	13767851	39.912421	116.380212	21
十三陵水库	3	6625884	40.264679	116.25174	21
吉事果(南锣鼓巷店)	1	177658	39.938778	116.403047	21
布鲁亲子餐厅(北京店)	1	29592538	39.975687	116.484322	22
叶叶菩提(北京总店)	1	29598658	39.913169	116.475214	22
东方君悦大酒店悦庭粤式	1	6312	39.909706	116.414546	22
汇贤府(解放军301店)	1	29584414	39.901962	116.278528	22
万春亭	3	851658	39.924704	116.396751	22
柳沟民俗村	1	6687489	40.445323303535	116.10048774998	22
神路公园	3	809296	40.258186	116.225404	22
莲素会(小屯路店)	1	29596162	39.89395	116.253489	22
站点比萨(北大餐厅)	1	29588870	39.99758	116.30357	22
芦月轩羊蝎子(北蜂窝店)	1	29587850	39.90559	116.3291	22
安妮意大利餐厅(朝阳公园店)	1	9263	39.936199	116.474427	22
五塔寺	3	77947	39.943938	116.330309	22
猫小院猫主题餐厅(北锣店)	1	29596642	39.943074	116.403484	22
罗红摄影艺术馆	3	22323559	40.043156	116.574378	22
胡同食堂	1	29598302	39.982069	116.421496	22
星怡会(王府井APM店)	1	29591958	39.914975	116.411836	23
小吊梨汤(华润五彩城购物中心店)	1	29597914	40.030518	116.336359	23
馅老满(安定门店)	1	6946389	39.943	116.408637	23
德益轩门钉肉饼店清真	1	22327858	39.91639	116.484565	23
一品焖锅(富力广场店)	1	29593454	39.89505	116.46049	23
黑松白鹿(新源里店)	1	4808	39.947093	116.450059	23
朝物夕拾	1	29595622	39.891714	116.391709	23
8号苑秘制火锅(80后主题店)	1	29588638	39.941733	116.379336	23
南京大牌档(西直门凯德店)	1	7377674	39.942331	116.352553	23
北京鹫峰国家森林公园	3	4150	40.065327156592	116.08890533447	23
三味缘牛蛙火锅(马连道店)	1	29598086	39.88426	116.32857	23
海底捞火锅(丰台北路万丰桥店)	1	29598026	39.865885	116.297416	23
红蕃茄(鸟巢店)	1	29596206	39.992768	116.400417	23
鱼豆吉(大慧寺店)	1	29584742	39.952386	116.335392	23
沸炉火锅·地道的川味火锅(怀柔店)	1	29595062	40.313421	116.62964	23
金钱豹国际美食百汇(世贸天阶店)	1	21237	39.916000366211	116.45099639893	24
假如在成都耗儿鱼美蛙火锅(佳忆.青年汇店)	1	29597170	39.921727	116.517245	24
束河人家(东单店)	1	29598102	39.90996	116.421495	24
烤烤·丹东海鲜烧烤(望京店)	1	29593670	39.989218	116.478213	24
同和居	1	834730	39.936051	116.390818	24
小时光(北锣鼓巷店)	1	8815697	39.943835	116.403005	24
TIAGO-SELECT(西单大悦城店)	1	29598174	39.91085	116.37308	24
羊火涮肉	1	29593530	39.963215	116.389232	24
木屋烧烤(北京武圣路店)	1	29591182	39.880229	116.467589	24
J大侠中华料理(朝阳大悦城店)	1	9320861	39.924286	116.518615	24
麻辣诱惑(搜秀店)	1	5501	39.896430969238	116.41926574707	24
荟聚·西红门购物中心	4	8829263	39.789771103868	116.3254737854	24
三里屯银杏大道	3	33531080	39.943873	116.45867	24
苏州街	3	11600	40.002055	116.27399	24
天安门华表	3	6627924	39.908058	116.396911	24
炒豆合作社	1	139242	39.93306	116.41951	25
菀wǎn	1	29590094	39.948294	116.41565	25
三味缘牛蛙火锅(三里河店)	1	29596750	39.909444	116.344163	25
鼓楼大街	3	6959503	39.944337	116.387931	25
未名湖	3	835246	39.994824	116.310654	25
日坛公园	3	6936	39.915532	116.443805	25
华天峨嵋酒家(车公庄店)	1	9111	39.93105	116.35368	25
西贝莜面村(朝阳门店)	1	29594878	39.921492	116.439894	25
Friends‘-Cafe老友记主题店	1	21343	39.919997	116.454605	25
姥姥家春饼店(望京店)	1	29591618	39.990999	116.471719	25
天门山风景区	3	4252	40.591702	116.787709	25
素直(南新仓店)	1	156424	39.93248	116.43118	25
Ice-Monster冰馆(王府井店)	1	29590426	39.91487	116.41169	25
爨底下古风苑景观餐厅	1	26103953	39.998296	115.644248	25
东来顺饭庄(大栅栏店)	1	6311295	39.925439500611	116.41327026367	25
时间轴餐厅(世贸天阶店)	1	29598274	39.91706	116.45291	26
碳花烤羊腿(北新桥三条店)	1	148346	39.943159	116.417277	26
和饮轮饮(WainWain)	1	29581250	39.907406	116.476978	26
东来顺饭庄(呼家楼店)	1	15467403	39.92109	116.46261	26
艾乐西餐(五道口店)	1	29597402	39.987982	116.340496	26
三泉冷面(旺角店)	1	29596354	40.002285	116.463237	26
顺心宅老北京炸酱面	1	834261	39.980113	116.467244	26
山吧	1	21651	40.412300109863	116.6009979248	26
牛街清真超市美食城	1	6946574	39.887007	116.363309	26
西贝莜面村(三元桥店)	1	4013	39.95833	116.456833	26
孔乙己(后海店)	1	5125	39.942892	116.381196	26
便宜坊烤鸭店(枢密院店)	1	29467990	39.817949	116.545535	26
王品牛排(北京亦庄店)	1	29596682	39.805291	116.502098	26
川骄海鲜自助(北京站店)	1	29598442	39.904447	116.434545	26
鼎泰丰(北京apm店)	1	29596582	39.91486	116.41213	26
聚焦鲜牛肉潮汕火锅	1	29598766	39.825768	116.303401	27
延禧宫	3	849699	39.920502	116.398682	27
南门涮肉(东单店)	1	22323571	39.907257	116.421961	27
米芝莲(新奥购物中心店)	1	29577390	40.000016	116.394185	27
